"","COUNTY","par_1","par_2"
"385","Cherokee County, Georgia",0.526975985427076,0.498349770891223
"386","Haralson County, Georgia",0.811408533643564,0.498886976599912
"387","Fulton County, Georgia",0.729449383599883,0.281013565211421
"388","White County, Georgia",0.610051365453662,0.469815960952359
"389","Wilkinson County, Georgia",0.67692228495599,0.542878789909591
"390","Camden County, Georgia",0.667560357136469,0.567930268308717
"391","Troup County, Georgia",0.744091867776865,0.439237509939249
"392","Barrow County, Georgia",0.508121625539859,0.50637280139169
"393","Hancock County, Georgia",0.713783041824086,0.444800019899265
"394","Glascock County, Georgia",0.531840333002731,0.559708460934086
"395","Randolph County, Georgia",0.863276157104863,0.468111075536349
"396","Screven County, Georgia",0.860672791627905,0.517303697590095
"397","Dawson County, Georgia",0.693136922373016,0.449496463102957
"398","Gordon County, Georgia",0.591519836006242,0.462749539797547
"399","Grady County, Georgia",0.753938209082866,0.470428833477106
"400","Madison County, Georgia",0.595031539692053,0.505434937917618
"401","Clinch County, Georgia",1.01169937730675,0.39824355103878
"402","Bleckley County, Georgia",0.909909727937727,0.540760510168548
"403","Tift County, Georgia",0.819841008095301,0.431837148707004
"404","Toombs County, Georgia",0.823965532803709,0.443099027334555
"405","Ware County, Georgia",0.758857146675328,0.432676286341901
"406","Spalding County, Georgia",0.718072309622385,0.469504318567525
"407","Warren County, Georgia",0.928589447438145,0.508155971739471
"408","Taliaferro County, Georgia",0.744003090475114,0.557035020324587
"409","Cobb County, Georgia",0.594208152119795,0.410180653032513
"410","Paulding County, Georgia",0.588657274541775,0.568555361815628
"411","Crisp County, Georgia",0.899202952520697,0.427343370017688
"412","Dodge County, Georgia",0.797004191496517,0.441839785263889
"413","Floyd County, Georgia",0.661766928101315,0.40730557841363
"414","McDuffie County, Georgia",0.860122037699888,0.490757796303244
"415","Johnson County, Georgia",0.937760148285095,0.499306331355817
"416","Pulaski County, Georgia",0.752341451365782,0.391319479190825
"417","Rockdale County, Georgia",0.627013179237311,0.53809037316708
"418","Jones County, Georgia",0.7092570021282,0.543909783581333
"419","Pickens County, Georgia",0.620171355751119,0.482365632411536
"420","Gwinnett County, Georgia",0.569894714412871,0.467607024245786
"421","Habersham County, Georgia",0.601620539709194,0.470477754117287
"422","Polk County, Georgia",0.716576605956644,0.538649949420093
"423","Henry County, Georgia",0.552139561096692,0.525781900823932
"424","Ben Hill County, Georgia",0.901144292357398,0.461778538134732
"425","Oconee County, Georgia",0.464706863336784,0.369430155517968
