"","COUNTY","alpha","gamma","Gini"
"893","Fayette County, Illinois",0.663022419030923,0.490982725719764,0.475877313885973
"894","Fayette County, Indiana",0.685758087750229,0.487670017306611,0.477700335069312
"895","Fayette County, Iowa",0.5277827340311,0.527800901648057,0.476891500071954
"896","Fayette County, Kentucky",0.707982059276229,0.601949124651865,0.5598060695874
"897","Fayette County, Ohio",0.613944823889131,0.517544124319273,0.484920189099912
"898","Fayette County, Pennsylvania",0.751283946272424,0.50184822956805,0.497517119512573
"899","Fayette County, Tennessee",0.692062617188737,0.561592900961121,0.528101370845975
"900","Fayette County, Texas",0.573497963857157,0.633970313388603,0.566321782325282
"901","Fayette County, West Virginia",0.684323422705672,0.486746112346066,0.476870699310011
"902","Fentress County, Tennessee",0.631580711495759,0.603908020777564,0.550477626656267
"903","Fergus County, Montana",0.560315954790352,0.517028496402437,0.475133573407678
"904","Ferry County, Washington",0.777264381551105,0.519054475890146,0.512497708679103
"905","Fillmore County, Minnesota",0.515883014260689,0.54611660830329,0.48812697953862
"906","Fillmore County, Nebraska",0.536383177797316,0.509480364377948,0.465526832480042
"907","Finney County, Kansas",0.404470721573006,0.595367899994299,0.507449016246197
"908","Fisher County, Texas",0.558320756089619,0.548773325451093,0.497432171125521
"909","Flagler County, Florida",0.407399250207895,0.640029648772694,0.546748771922384
"910","Flathead County, Montana",0.53317584265942,0.574586063150726,0.512584984741653
"911","Fleming County, Kentucky",0.876357384956608,0.447929206875731,0.485904555372601
"912","Florence County, South Carolina",0.663356829780827,0.584795530166488,0.540625065333272
"913","Florence County, Wisconsin",0.574230659950729,0.473932218842279,0.448761314614247
"914","Floyd County, Georgia",0.661766928101315,0.59269442158637,0.546296475657073
"915","Floyd County, Indiana",0.542979850031647,0.603079023042604,0.536541136079844
"916","Floyd County, Iowa",0.589023025684643,0.500680216705515,0.469131207240929
"917","Floyd County, Kentucky",0.869021325312239,0.553667582015901,0.548123341553991
"918","Floyd County, Texas",0.699541089039961,0.562731225167372,0.530032513800339
"919","Floyd County, Virginia",0.512955367118155,0.545296051408863,0.487001478616452
"920","Fluvanna County, Virginia",0.624094876832225,0.397460037248146,0.412216187132879
"921","Fond du Lac County, Wisconsin",0.455941016221559,0.541891539360103,0.474116346247283
"922","Ford County, Illinois",0.517909031774667,0.538002701326944,0.482509909947381
"923","Ford County, Kansas",0.564975149683535,0.463847203430109,0.440483783199116
"924","Forest County, Pennsylvania",0.509718331166552,0.494322170864023,0.450012919294237
"925","Forest County, Wisconsin",0.662554340587852,0.4602650252635,0.456577805318561
"926","Forrest County, Mississippi",0.67824687911791,0.643135833685118,0.588019717304724
"927","Forsyth County, Georgia",0.580157392640471,0.505315045892731,0.470656977118326
"928","Forsyth County, North Carolina",0.63466778665824,0.615174864369487,0.559733983215973
"929","Fort Bend County, Texas",0.549505171979339,0.557369155146552,0.502280658648701
"930","Foster County, North Dakota",0.493661739065966,0.609451889111152,0.534008118123881
"931","Fountain County, Indiana",0.579576212794464,0.469711608742767,0.447054607752943
"932","Franklin city, Virginia",0.656411901845069,0.527189533517232,0.498634707512733
"933","Franklin County, Alabama",0.622824358614322,0.535610365736653,0.498874418143663
"934","Franklin County, Arkansas",0.701225104388066,0.52239001964794,0.502711264753861
"935","Franklin County, Florida",0.391053120471711,0.811329139607976,0.723873330359948
"936","Franklin County, Georgia",0.68476200283755,0.523496636219753,0.500785156350502
"937","Franklin County, Idaho",0.546852237060967,0.415583898022156,0.406831008240286
